time	val0	val1	val2	val3	val4	val5	val6	val7
1	353	0	3836	356	4	3	2	0	
3	353	26	3835	356	13	15	14	16	
4	353	30	3835	357	12	13	12	13	
5	353	21	3835	356	9	9	9	10	
7	353	11	3837	356	6	6	6	6	
8	353	6	3836	356	6	5	5	0	
9	353	2	3839	354	4	5	5	4	
10	354	2	3837	357	5	4	5	3	
11	353	0	3836	356	0	0	0	0	
12	353	0	3840	356	0	0	0	0	
13	353	0	3839	356	4	5	5	5	
14	353	2	3833	356	6	7	6	6	
16	353	10	3832	356	7	7	6	7	
17	353	9	3836	356	8	9	9	7	
18	353	13	3836	356	8	8	9	8	
19	353	14	3838	356	10	11	11	12	
20	353	29	3832	356	12	13	13	15	
21	353	27	3836	356	11	11	10	12	
22	353	19	3837	356	8	9	9	8	
23	353	9	3837	356	6	6	5	6	
25	353	5	3836	356	5	5	6	5	
26	354	3	3836	357	3	9	5	4	
27	347	2	3840	359	1	8	3	3	
28	353	0	3839	356	0	0	0	0	
29	353	0	3835	356	0	1	1	0	
30	353	0	3839	356	5	5	5	5	
31	353	3	3833	356	5	7	7	7	
32	353	9	3834	356	8	8	7	7	
33	353	10	3835	356	9	8	8	8	
35	353	13	3835	356	8	9	8	8	
36	353	14	3836	357	10	11	11	13	
37	354	30	3836	356	13	13	13	15	
38	353	27	3836	356	10	10	11	12	
39	353	18	3839	356	8	7	8	8	
40	353	9	3839	356	6	5	6	5	
41	353	5	3837	356	6	6	5	5	
43	353	2	3835	356	5	5	5	5	
44	353	1	3832	357	6	1	2	0	
45	347	0	3839	354	0	0	0	0	
46	355	0	3836	356	1	2	4	1	
47	353	0	3836	356	5	5	6	5	
48	353	4	3839	356	7	7	8	7	
49	353	10	3836	356	7	8	9	9	
50	353	11	3834	356	8	9	8	9	
52	353	14	3836	356	8	8	9	8	
53	353	23	3840	356	12	13	14	15	
54	353	30	3836	356	13	13	13	14	
55	353	23	3839	356	10	9	9	10	
56	353	13	3839	356	7	7	6	6	
57	353	8	3833	356	5	6	6	6	
58	353	4	3835	356	5	5	5	4	
59	353	2	3835	356	5	5	5	4	
61	353	0	3835	356	1	1	0	0	
62	353	0	3838	356	0	0	2	0	
63	354	0	3807	357	3	1	4	2	
64	353	0	3839	356	5	6	5	5	
65	353	9	3835	356	7	8	7	8	
66	353	10	3833	356	8	8	8	8	
67	353	12	3834	356	8	8	8	8	
69	353	14	3832	356	9	10	11	12	
70	353	29	3837	356	14	13	14	15	
71	353	29	3832	356	11	11	11	13	
72	353	21	3835	356	9	9	9	10	
73	353	10	3836	356	6	7	6	6	
74	353	6	3836	356	5	6	5	5	
75	353	3	3835	356	5	5	5	4	
77	353	1	3836	356	4	5	4	4	
78	353	0	3836	356	0	0	0	0	
79	353	0	3835	356	0	0	0	0	
80	357	0	3840	360	4	4	5	4	
81	348	2	3839	354	5	6	7	8	
82	353	9	3834	356	6	8	8	6	
83	353	10	3836	356	8	8	9	8	
84	353	14	3837	356	8	9	9	9	
86	353	13	3837	356	10	11	11	13	
87	353	31	3836	356	13	14	13	14	
88	353	28	3835	356	11	11	11	12	
89	353	19	3836	356	9	8	8	8	
90	353	10	3836	356	5	5	5	5	
91	353	5	3835	356	5	5	5	5	
92	354	3	3836	357	5	5	4	4	
94	353	1	3836	356	4	2	2	1	
95	353	0	3836	356	0	0	0	0	
96	353	0	3839	356	1	2	1	1	
97	353	0	3835	356	5	5	5	5	
98	356	5	3836	356	8	10	6	7	
99	353	10	3836	357	8	8	8	8	
101	353	11	3840	356	8	8	7	8	
102	353	15	3835	356	9	9	9	9	
103	353	28	3836	357	13	12	14	15	
104	353	28	3835	356	13	13	13	14	
105	354	21	3840	356	9	9	10	10	
106	353	15	3833	356	8	8	7	8	
107	353	5	3836	356	5	5	5	5	
108	353	4	3839	356	4	5	5	5	
109	353	4	3836	357	5	4	4	4	
111	353	0	3836	356	2	2	1	0	
112	353	0	3839	356	0	0	0	0	
113	353	0	3831	356	2	2	3	2	
114	353	0	3835	356	5	6	6	5	
115	353	8	3836	356	6	7	8	7	
116	348	5	3835	354	8	12	9	12	
117	356	13	3840	356	2	4	2	10	
118	353	13	3833	357	8	9	8	10	
119	353	25	3836	357	12	12	13	15	
120	353	29	3835	356	12	13	13	16	
122	354	23	3840	356	10	10	10	10	
123	353	16	3836	356	8	8	9	8	
124	353	7	3835	356	6	5	6	5	
125	353	5	3836	356	5	6	5	5	
126	354	2	3836	356	5	5	5	4	
127	353	2	3833	356	3	3	2	0	
128	353	0	3836	356	0	0	0	0	
129	353	0	3835	357	1	2	2	0	
130	353	0	3833	356	5	6	5	5	
131	353	5	3839	356	6	8	8	7	
132	353	10	3835	356	7	8	8	8	
134	353	12	3837	357	8	8	10	11	
135	352	10	3840	354	6	6	6	8	
136	357	21	3856	356	7	13	14	15	
137	353	31	3832	356	13	14	14	14	
138	353	26	3835	356	10	10	10	10	
139	353	18	3836	357	8	8	8	8	
140	353	9	3835	356	5	5	5	5	
141	353	4	3839	356	5	5	5	5	
142	354	2	3836	356	5	5	5	5	
143	353	1	3835	356	5	5	4	2	
145	353	0	3836	356	0	0	0	0	
146	353	0	3835	356	0	1	1	0	
147	353	0	3834	356	5	5	5	5	
148	353	4	3836	356	6	6	8	7	
149	353	9	3835	357	8	7	8	7	
150	353	11	3834	356	8	8	8	9	
151	354	14	3839	356	8	8	8	9	
152	355	14	3839	356	9	10	11	12	
153	354	32	3831	357	13	14	13	15	
154	353	28	3836	356	10	10	11	10	
156	353	18	3836	356	9	8	9	9	
157	353	8	3837	356	6	6	5	6	
158	353	6	3835	356	5	5	5	5	
159	353	3	3835	357	5	5	5	5	
160	353	1	3836	356	5	5	5	4	
161	354	0	3840	356	0	0	0	0	
162	353	0	3833	356	0	1	0	0	
163	353	0	3836	356	4	5	5	4	
164	353	2	3836	357	6	6	6	5	
165	353	10	3835	356	7	7	9	8	
167	353	10	3839	356	8	8	7	8	
168	353	13	3835	356	8	9	9	9	
169	353	12	3835	356	9	10	10	11	
170	353	30	3839	359	13	14	14	15	
171	353	29	3840	356	11	11	12	13	
172	353	21	3835	356	9	9	9	10	
173	353	11	3836	356	6	6	6	7	
174	353	6	3835	356	5	5	5	5	
175	353	4	3835	356	5	5	5	5	
176	354	0	3839	356	4	5	5	4	
177	353	0	3837	356	0	0	0	0	
179	353	0	3837	356	0	0	0	0	
180	353	0	3837	356	4	5	5	3	
181	353	2	3835	356	6	6	6	5	
182	353	8	3835	356	8	8	7	8	
183	353	10	3835	356	7	8	8	8	
184	353	13	3835	357	8	8	9	9	
185	353	14	3836	356	9	9	10	9	
186	353	27	3839	356	13	13	13	16	
187	353	29	3836	356	13	12	12	13	
188	353	21	3839	357	10	9	9	10	
190	353	12	3840	356	6	7	6	6	
191	354	6	3836	356	5	6	6	5	
192	353	4	3832	356	5	5	5	4	
193	353	3	3835	356	5	5	5	5	
194	353	0	3836	356	1	1	0	0	
195	353	0	3836	356	0	0	0	0	
196	353	0	3838	356	2	3	2	1	
197	354	1	3835	356	5	6	6	5	
198	353	8	3836	357	7	7	7	8	
199	353	10	3835	356	8	8	8	8	
201	354	11	3837	356	8	8	8	8	
202	353	14	3833	356	9	8	9	9	
203	353	26	3835	356	13	13	14	15	
204	353	29	3836	356	13	13	13	13	
205	353	23	3836	356	10	10	10	11	
206	356	15	3839	357	7	6	7	5	
207	353	7	3837	357	5	6	5	5	
208	353	4	3836	356	5	6	5	4	
209	353	2	3836	357	4	4	5	4	
210	353	0	3835	356	3	2	2	0	
212	353	0	3838	356	0	0	0	0	
213	353	0	3836	356	1	2	2	1	
214	353	0	3835	357	5	5	6	5	
215	353	6	3836	356	6	7	7	6	
216	354	9	3838	356	7	8	8	8	
217	353	12	3833	356	8	8	9	9	
218	353	14	3832	356	9	9	9	9	
219	353	22	3836	357	12	11	13	13	
220	353	29	3835	356	13	13	14	14	
221	353	25	3839	356	9	10	10	11	
222	353	16	3836	356	7	8	8	7	
224	353	7	3836	357	5	5	5	5	
225	354	6	3831	356	6	6	4	5	
226	348	2	3809	356	7	4	4	4	
227	353	2	3831	356	5	2	3	1	
228	353	0	3835	356	0	0	0	0	
229	353	0	3836	357	1	1	2	0	
230	353	0	3835	357	6	6	5	5	
231	353	4	3838	356	6	8	7	7	
232	353	9	3836	356	7	8	8	8	
233	353	12	3836	356	7	8	9	9	
235	353	13	3835	356	8	8	9	9	
236	354	17	3840	356	11	11	12	13	
237	353	30	3831	356	13	13	13	14	
238	353	26	3836	356	11	10	10	11	
239	353	18	3836	357	8	8	9	8	
240	353	10	3836	356	6	5	6	5	
241	353	5	3839	356	5	5	5	5	
242	356	3	3839	356	4	5	4	4	
243	351	4	3823	356	4	7	3	4	
244	353	0	3835	356	0	0	0	0	
246	353	0	3839	356	0	0	0	0	
247	354	0	3836	356	4	5	5	4	
248	353	3	3836	356	6	6	6	7	
249	353	9	3835	357	7	7	7	7	
250	353	11	3835	356	8	8	8	9	
251	353	14	3839	356	8	8	8	8	
252	353	14	3836	356	9	11	11	12	
253	353	32	3836	357	13	13	14	15	
254	353	27	3836	356	11	10	10	13	
255	354	18	3840	356	9	8	8	9	
257	354	9	3832	356	6	6	6	6	
258	353	6	3836	356	5	5	5	5	
259	353	3	3837	357	5	5	5	4	
260	353	1	3835	356	5	5	5	3	
261	354	0	3839	357	0	0	0	0	
262	353	0	3836	356	0	0	0	0	
263	353	0	3835	356	4	5	5	4	
264	353	2	3835	356	6	6	6	6	
265	354	9	3840	356	8	8	8	8	
266	353	10	3832	356	8	7	9	8	
267	353	13	3834	356	8	8	8	8	
269	353	13	3835	357	8	9	10	10	
270	353	29	3837	356	13	13	14	15	
271	353	29	3839	356	11	12	11	13	
272	353	20	3836	356	9	9	9	9	
273	353	13	3836	356	6	7	6	6	
